,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,POINTS,TOP 10,1ST,Year
76,Jeff Overton,94,70.836,284.8,58.87,65.70,.105,-.014,.091,58.80,334,568,1,464,1,,2015
77,Spencer Levin,99,70.837,283.7,69.09,68.27,-.065,.135,.070,59.75,331,554,1,764,1,,2015
78,David Hearn,97,70.843,280.6,64.16,67.98,.358,-.002,.356,57.42,321,559,2,1152,4,,2015
79,Jon Curran,83,70.849,273.5,67.46,66.39,-.028,-.059,-.088,61.72,295,478,4,540,5,,2015
80,Kyle Reifers,96,70.854,288.0,61.59,67.03,.036,.101,.136,61.36,335,546,1,804,2,,2015
81,Charles Howell III,105,70.872,302.7,52.43,68.57,-.216,.599,.383,56.06,333,594,3,792,3,,2015
82,James Hahn,94,70.896,295.1,59.89,66.13,.048,.307,.355,58.46,335,573,1,1202,2,1,2015
83,Cameron Tringale,96,70.920,281.8,68.50,64.58,.125,.244,.369,62.09,380,612,2,1390,3,,2015
84,Ben Martin,93,70.950,288.1,65.09,68.70,.127,.153,.280,54.04,274,507,4,1417,5,1,2015
85,Chris Kirk,76,70.959,285.8,61.97,64.54,.065,.350,.414,60.30,281,466,3,1291,3,1,2015
86,Gary Woodland,81,70.982,305.5,56.21,66.74,.077,.121,.198,56.66,251,443,4,1300,4,,2015
87,Morgan Hoffmann,85,70.988,296.1,54.83,61.11,.232,-.035,.196,59.16,352,595,2,749,2,,2015
88,Mark Wilson,89,70.991,279.2,64.53,67.84,-.065,.092,.026,60.37,297,492,2,681,3,,2015
89,Adam Hadwin,95,71.021,288.2,65.43,66.55,.235,-.051,.183,58.39,327,560,2,584,3,,2015
90,Sean O'Hair,86,71.030,295.3,60.74,64.34,.169,.012,.180,59.42,328,552,2,1293,3,,2015
91,Sangmoon Bae,98,71.036,289.8,60.03,62.93,.260,-.201,.059,61.16,400,654,4,390,5,1,2015
92,Cameron Percy,72,71.039,290.0,60.31,67.78,-.142,.163,.020,56.16,228,406,1,361,1,,2015
93,Billy Hurley III,83,71.043,271.9,65.91,65.26,.311,-.423,-.112,64.17,317,494,1,420,1,,2015
94,Billy Horschel,99,71.050,295.0,63.77,69.33,.244,.202,.446,57.61,299,519,2,1051,2,,2015
95,Steve Wheatcroft,87,71.072,288.3,63.03,64.59,.345,-.383,-.038,60.68,321,529,1,536,2,,2015
96,Alex Prugh,84,71.089,295.2,62.03,70.14,-.055,.051,-.004,53.02,228,430,2,433,2,,2015
97,John Senden,80,71.090,290.2,66.60,67.26,-.061,.142,.082,55.20,244,442,3,848,3,,2015
98,David Toms,62,71.092,270.0,74.50,64.66,-.102,.178,.076,63.96,236,369,1,383,2,,2015
99,Charl Schwartzel,67,71.093,300.4,60.81,64.99,-.555,.629,.073,54.66,217,397,2,584,3,,2015
100,Whee Kim,71,71.097,282.4,60.40,68.20,-.093,.081,-.013,57.72,228,395,1,393,2,,2015
101,Carlos Ortiz,100,71.098,298.4,59.84,66.84,.172,-.048,.124,55.50,318,573,1,711,1,,2015
102,Jamie Donaldson,50,71.102,294.9,60.09,63.83,.349,-.008,.341,59.48,182,306,2,447,2,,2015
103,Scott Pinckney,88,71.103,290.3,60.95,67.61,.294,-.426,-.131,55.75,286,513,3,761,3,,2015
104,Alex Cejka,94,71.117,283.3,63.78,65.70,-.232,.015,-.217,60.39,343,568,1,859,1,1,2015
105,Hunter Mahan,88,71.124,295.1,58.91,65.79,.390,-.270,.120,59.60,301,505,3,1208,4,,2015
106,Blayne Barber,76,71.127,288.6,63.72,66.44,.313,-.297,.015,59.51,266,447,3,380,4,,2015
107,Fabián Gómez,83,71.207,283.2,60.88,63.52,.062,-.386,-.324,58.72,320,545,2,1069,2,1,2015
108,Luke Guthrie,84,71.211,283.9,58.86,63.75,.110,-.147,-.037,57.57,308,535,1,373,1,,2015
109,Erik Compton,86,71.228,288.4,59.31,63.18,.469,-.385,.084,60.53,345,570,1,471,1,,2015
110,Michael Thompson,83,71.230,289.3,58.24,65.43,.153,-.349,-.195,55.36,279,504,1,378,1,,2015
111,Ryo Ishikawa,90,71.246,289.2,56.39,66.41,-.103,.052,-.051,55.45,295,532,1,476,2,,2015
112,Kevin Streelman,95,71.282,289.5,68.63,68.99,-.219,.352,.133,58.66,298,508,2,840,2,,2015
113,Davis Love III,51,71.289,294.7,64.94,67.43,-.347,-.031,-.377,57.19,171,299,1,735,2,1,2015
114,Ken Duke,93,71.306,278.1,67.91,64.17,-.222,-.156,-.378,58.71,337,574,2,523,3,,2015
115,Brian Stuard,97,71.341,276.5,69.31,63.20,.116,-.356,-.240,60.23,371,616,1,447,1,,2015
116,Nicholas Thompson,90,71.396,286.0,68.70,68.60,-.493,-.219,-.712,52.06,253,486,1,442,1,,2015
117,Andres Gonzales,90,71.427,294.5,58.06,66.67,.177,-.714,-.537,55.62,287,516,2,531,3,,2015
118,Brice Garnett,81,71.453,287.1,61.25,68.28,-.089,-.443,-.532,55.65,251,451,1,398,1,,2015
119,Troy Merritt,91,71.458,285.2,62.83,63.37,.384,-.579,-.195,61.83,371,600,2,1148,3,1,2015
120,Seung-Yul Noh,65,71.465,292.7,54.87,65.90,.066,-.220,-.154,54.89,219,399,1,432,1,,2015
121,Sung Joon Park,79,71.469,283.7,65.73,64.72,-.421,-.167,-.588,64.42,315,489,1,426,1,,2015
122,Bo Van Pelt,81,71.497,289.5,60.73,66.88,.118,-.368,-.250,55.84,263,471,1,322,2,,2015
123,Greg Owen,58,71.512,293.8,59.63,69.25,-.798,.572,-.226,59.81,192,321,1,608,2,,2015
124,Geoff Ogilvy,50,71.559,293.7,59.59,66.55,-.692,.260,-.432,51.56,149,289,1,350,1,,2015
125,Brian Davis,86,71.656,275.5,67.66,62.26,.081,-.593,-.512,60.68,338,557,2,387,2,,2015
126,Retief Goosen,81,71.667,292.6,56.57,62.19,.027,-.365,-.338,59.35,311,524,2,519,3,,2015
127,Sam Saunders,83,71.668,293.2,64.00,65.23,-.136,-.360,-.496,57.79,293,507,1,413,1,,2015
128,Nick Taylor,91,71.716,292.3,56.05,64.41,.112,-.489,-.377,58.32,340,583,1,613,1,1,2015
129,Max Homa,78,71.763,294.2,56.45,62.99,-.110,-.619,-.729,59.23,292,493,1,278,1,,2015
130,Chesson Hadley,101,71.798,290.7,56.87,63.59,.168,-.525,-.357,57.70,382,662,3,630,3,,2015
131,Padraig Harrington,60,71.950,290.5,51.72,61.02,-.493,-.263,-.756,57.01,240,421,1,610,1,1,2015
132,Scott Stallings,60,71.961,291.8,57.74,65.00,-.392,-.166,-.558,54.23,205,378,1,447,1,,2015
133,Charlie Beljan,76,72.010,309.8,62.61,65.51,-.799,-.134,-.933,48.77,218,447,1,369,1,,2015
134,Oscar Fraustro,58,72.080,289.5,61.78,63.17,-.283,-1.034,-1.316,56.42,202,358,1,171,1,,2015
