,NAME,ROUNDS,DRIVE_DISTANCE,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,SCORING1,SCORING2,SCORING3,SCORING4,SCORING5,FWY_%1,FWY_%2,FWY_%3,FWY_%4,FWY_%5,GIR_%1,GIR_%2,GIR_%3,GIR_%4,GIR_%5,SG_P1,SG_P2,SG_P3,SG_P4,SG_P5,SG_TTG1,SG_TTG2,SG_TTG3,SG_TTG4,SG_TTG5,SG_T1,SG_T2,SG_T3,SG_T4,SG_T5,SCRAMBLING_P1,SCRAMBLING_P2,SCRAMBLING_P3,SCRAMBLING_P4,SCRAMBLING_P5
100,Jason Bohn,67,276.3,228,406,3,3,0.0,71.126,,,,,67.56,,,,,66.33,,,,,0.032,,,,,-0.252,,,,,-0.22,,,,,56.16,,,,
101,Jason Day,291,1222.4,974,1612,18,26,5.0,69.313,70.115,69.603,70.212,,50.46,53.94,58.32,61.76,,67.23,63.72,65.28,69.7,,1.13,0.354,0.77,0.356,,0.987,0.58,0.515,0.477,,2.118,0.935,1.285,0.833,,61.92,57.77,62.35,59.6,
102,Jason Dufner,339,1175.0,1037,1823,11,12,2.0,70.212,70.259,71.323,71.336,,62.83,63.76,63.3,67.79,,70.15,67.21,64.24,70.76,,-0.353,-0.001,-0.058,-0.494,,0.84,0.654,0.068,0.479,,0.488,0.653,0.011,-0.015,,56.39,57.85,58.25,54.88,
103,Jason Kokrak,377,1229.6999999999998,1197,2104,10,14,0.0,70.57,70.961,70.444,70.431,,58.41,59.32,58.06,62.74,,68.66,66.78,70.37,68.77,,-0.288,-0.405,0.022,-0.018,,0.813,0.458,0.517,1.054,,0.525,0.052,0.539,1.036,,58.37,53.87,55.11,60.67,
104,Jeff Overton,69,285.0,269,423,1,1,0.0,71.466,,,,,59.25,,,,,63.85,,,,,-0.416,,,,,-0.076,,,,,-0.492,,,,,63.59,,,,
105,Jerry Kelly,76,278.2,292,456,1,2,0.0,70.937,,,,,71.2,,,,,66.67,,,,,-0.214,,,,,0.381,,,,,0.167,,,,,64.04,,,,
106,Jhonattan Vegas,359,1217.6000000000001,1173,2015,9,13,2.0,70.903,71.054,71.275,70.765,,56.57,57.67,57.91,58.93,,69.71,65.93,65.17,69.29,,0.072,-0.413,-0.059,-0.156,,0.498,0.506,0.089,0.782,,0.571,0.093,0.03,0.626,,58.97,57.61,58.6,57.54,
107,Jim Furyk,229,1107.7,798,1302,6,9,0.0,70.13,71.071,70.342,70.09,,69.09,72.07,69.91,74.45,,68.27,66.12,63.19,69.28,,0.067,0.187,0.389,0.113,,0.463,-0.036,0.023,0.784,,0.53,0.151,0.412,0.897,,57.24,60.45,62.58,64.1,
108,Jim Herman,170,583.6,581,1006,4,4,1.0,71.206,70.931,,,,65.59,69.02,,,,65.65,68.07,,,,-0.318,-0.127,,,,0.111,0.495,,,,-0.207,0.368,,,,58.96,56.15,,,
109,Jim Knous,57,296.5,178,308,1,1,0.0,71.483,,,,,55.21,,,,,67.71,,,,,-0.249,,,,,-0.123,,,,,-0.372,,,,,57.79,,,,
110,Jimmy Walker,234,896.0,848,1460,8,10,1.0,70.393,71.155,70.786,,,48.31,56.59,53.49,,,63.96,63.57,61.9,,,0.222,0.135,0.324,,,0.671,0.138,0.033,,,0.892,0.273,0.357,,,57.71,57.25,59.09,,
111,Joaquin Niemann,98,301.5,333,552,1,4,0.0,70.621,,,,,61.72,,,,,68.06,,,,,-0.17,,,,,0.84,,,,,0.67,,,,,60.33,,,,
112,Joel Dahmen,100,292.4,330,575,2,2,0.0,70.932,,,,,68.51,,,,,66.72,,,,,-0.102,,,,,0.187,,,,,0.085,,,,,57.39,,,,
113,Joey Garber,63,293.9,213,345,1,2,0.0,71.713,,,,,62.52,,,,,66.37,,,,,-0.234,,,,,-0.45,,,,,-0.684,,,,,61.74,,,,
114,John Huh,272,858.9,987,1613,6,7,0.0,71.104,70.851,70.718,,,68.3,64.09,63.83,,,66.21,65.78,65.8,,,-0.187,0.124,0.167,,,0.136,-0.026,0.083,,,-0.051,0.099,0.251,,,62.09,63.65,57.94,,
115,John Senden,88,289.7,285,482,1,1,0.0,70.717,,,,,60.07,,,,,68.86,,,,,0.321,,,,,0.13,,,,,0.451,,,,,59.13,,,,
116,Johnson Wagner,221,860.9,655,1146,3,6,0.0,70.781,71.429,70.847,,,61.13,63.18,67.08,,,69.38,66.93,71.55,,,0.273,0.12,0.488,,,0.096,-0.456,-0.483,,,0.368,-0.336,0.005,,,57.81,55.73,57.91,,
117,Jon Curran,99,271.9,417,659,3,3,0.0,71.145,,,,,64.35,,,,,63.02,,,,,0.407,,,,,-0.354,,,,,0.053,,,,,63.28,,,,
118,Jon Rahm,236,920.3000000000001,726,1203,20,28,3.0,69.561,69.958,69.618,,,58.66,59.2,62.5,,,68.61,70.12,69.04,,,0.256,-0.151,0.336,,,1.522,1.039,1.17,,,1.778,0.889,1.505,,,63.33,57.18,59.63,,
