,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10_y,1ST,2ND,3RD,Year
37,Adam Scott,"2,810",44,"2,810","25,006","25,006",80,308,308,556,476,476,720,-0.33,16.377,16.377,.214,.214,.291,-.181,27.718,27.718,11.341,16.377,144,144,244,1,417,12,0,3,"2,425",,,,,,2018
38,J.J. Spaun,"5,055",72,"5,055","42,343","42,343",144,649,649,999,880,880,"1,296",-0.29,4.034,4.034,.207,.207,.186,-.008,24.812,24.812,20.776,4.034,252,252,416,3,897,21,1,2,"1,945",,1,1,,,2018
39,Jordan Spieth,"2,926",45,"2,926","25,851","25,851",84,348,348,591,523,523,756,-0.32,-14.276,-14.276,.467,.467,.643,.259,36.409,36.409,50.686,-14.276,156,156,233,4,"1,277",13,1,3,"1,565",,1,1,2,,2018
40,Daniel Berger,"1,975",31,"1,975","16,458","16,458",56,271,271,396,326,326,504,-0.29,-1.777,-1.777,.379,.379,.579,.300,27.161,27.161,28.939,-1.777,118,118,178,1,395,9,0,2,"2,447",,,,,,2018
41,Brendan Steele,"3,737",57,"3,737","30,081","30,081",98,438,438,738,647,647,954,-0.24,-18.383,-18.383,.707,.707,.094,-.129,9.832,9.832,28.216,-18.383,192,192,307,3,563,17,0,3,"2,279",,,,1,,2018
42,Jason Day,"2,810",44,"2,810","24,153","24,153",80,331,331,553,462,462,720,-0.33,8.863,8.863,-.148,-.148,-.185,.230,5.396,5.396,-3.469,8.863,159,159,258,4,302,13,0,2,"2,540",,,,,1,2018
43,Justin Rose,"2,388",41,"2,388","20,354","20,354",68,305,305,475,412,412,612,-0.31,9.476,9.476,.098,.098,.052,-.141,9.693,9.693,.216,9.476,124,124,200,7,308,12,0,1,"2,534",,,,,,2018
44,Jason Kokrak,"3,366",51,"3,366","29,719","29,719",96,417,417,670,564,564,864,-0.32,16.028,16.028,.044,.044,.085,-.084,18.012,18.012,1.983,16.028,184,184,300,3,784,14,1,1,"2,058",,1,1,,,2018
45,Rickie Fowler,"3,183",45,"3,183","25,519","25,519",82,361,361,626,513,513,810,-0.30,-8.838,-8.838,-.083,-.083,.245,.294,6.683,6.683,15.524,-8.838,167,167,297,4,291,14,0,1,"2,551",,,,,1,2018
46,Rory Sabbatini,"2,451",35,"2,451","19,978","19,978",70,311,311,490,406,406,630,-0.30,10.149,10.149,-.114,-.114,-.259,.566,15.947,15.947,5.798,10.149,142,142,224,1,221,12,0,1,"2,621",,,,,1,2018
47,Ryan Palmer,"3,173",49,"3,173","25,180","25,180",82,346,346,621,556,556,810,-0.26,-14.161,-14.161,.491,.491,.252,.096,12.664,12.664,26.825,-14.161,139,139,254,1,310,15,0,1,"2,532",,,,,,2018
48,Tony Finau,"3,371",51,"3,371","29,046","29,046",96,384,384,670,594,594,864,-0.29,-14.914,-14.914,.473,.473,.490,.064,23.094,23.094,38.010,-14.914,161,161,270,6,412,15,0,1,"2,430",,,,1,,2018
49,Scott Stallings,"4,361",64,"4,361","37,617","37,617",124,461,461,857,717,717,"1,116",-0.30,18.534,18.534,-.095,-.095,-.018,.043,15.005,15.005,-3.531,18.534,248,248,399,2,420,21,0,2,"2,422",,,,,,2018
50,Martin Laird,"2,964",44,"2,964","25,059","25,059",84,394,394,584,514,514,756,-0.24,-17.382,-17.382,.223,.223,.355,.105,7.862,7.862,25.244,-17.382,155,155,242,3,214,14,0,,"2,628",,,,,,2018
51,Patrick Rodgers,"3,875",59,"3,875","33,945","33,945",110,380,380,765,685,685,990,-0.27,14.749,14.749,.075,.075,.041,.019,20.280,20.280,5.532,14.749,185,185,305,3,377,18,0,3,"2,465",,,,,,2018
52,J.T. Poston,"3,520",52,"3,520","29,811","29,811",100,425,425,694,586,586,900,-0.27,-.454,-.454,.369,.369,-.273,.100,8.158,8.158,8.612,-.454,205,205,314,1,284,19,0,2,"2,558",,,,,1,2018
53,Dustin Johnson,"2,111",37,"2,111","18,767","18,767",60,229,229,416,358,358,540,-0.32,-5.499,-5.499,.337,.337,.532,-.123,13.154,13.154,18.653,-5.499,107,107,182,8,350,10,0,2,"2,492",,,,,,2018
54,James Hahn,"3,170",49,"3,170","24,604","24,604",82,384,384,620,527,527,810,-0.26,-16.164,-16.164,.306,.306,.062,.167,2.054,2.054,18.219,-16.164,182,182,283,1,239,17,0,2,"2,603",,,,,,2018
55,Abraham Ancer,"3,363",53,"3,363","28,263","28,263",96,472,472,670,575,575,864,-0.31,9.156,9.156,.355,.355,.055,-.530,4.406,4.406,-4.749,9.156,178,178,289,2,414,15,0,3,"2,428",,,,,,2018
56,Si Woo Kim,"4,848",72,"4,848","39,076","39,076",130,617,617,966,813,813,"1,242",-0.30,-17.732,-17.732,.366,.366,.045,.162,15.497,15.497,33.229,-17.732,266,266,429,4,580,20,0,1,"2,262",,,,,,2018
57,Anirban Lahiri,"3,962",56,"3,962","33,207","33,207",112,479,479,778,647,647,"1,008",-0.27,-1.170,-1.170,.390,.390,-.341,.238,12.001,12.001,13.172,-1.170,218,218,361,2,561,18,0,2,"2,281",,,,1,,2018
58,Andrew Putnam,"4,217",60,"4,217","31,856","31,856",112,515,515,827,723,723,"1,080",-0.27,2.012,2.012,-.289,-.289,.096,.189,1.800,1.800,-.214,2.012,230,230,357,3,311,20,0,1,"2,531",,,,,,2018
59,Bubba Watson,"1,571",29,"1,571","13,247","13,247",44,191,191,306,251,251,396,-0.29,-3.715,-3.715,.277,.277,.040,.152,4.737,4.737,8.452,-3.715,78,78,145,4,199,9,0,1,"2,643",,,,,,2018
60,Ian Poulter,"2,401",41,"2,401","19,998","19,998",68,297,297,474,380,380,612,-0.29,11.677,11.677,-.281,-.281,-.080,.268,8.698,8.698,-2.978,11.677,149,149,232,3,162,13,0,,"2,680",,,,,,2018
61,Tyler Duncan,"3,718",57,"3,718","31,109","31,109",106,505,505,731,654,654,954,-0.28,-14.395,-14.395,.234,.234,.245,.061,5.031,5.031,19.426,-14.395,181,181,300,2,245,18,0,,"2,597",,,,,,2018
62,Kevin Streelman,"4,512",64,"4,512","37,918","37,918",128,613,613,883,751,751,"1,152",-0.25,2.562,2.562,.290,.290,-.185,.160,17.450,17.450,14.886,2.562,256,256,401,4,294,19,0,1,"2,548",,,,,,2018
63,Ryan Armour,"2,537",40,"2,537","20,594","20,594",72,375,375,501,441,441,648,-0.23,-5.777,-5.777,.420,.420,.071,-.009,5.307,5.307,11.084,-5.777,134,134,207,1,141,13,0,,"2,701",,,,,,2018
64,Nick Taylor,"4,384",62,"4,384","36,606","36,606",124,519,519,857,731,731,"1,116",-0.25,-7.622,-7.622,.025,.025,.119,.019,.043,.043,7.663,-7.622,243,243,385,1,291,19,0,,"2,551",,,,,,2018
65,Kevin Na,"2,389",38,"2,389","19,719","19,719",68,314,314,476,413,413,612,-0.31,-.595,-.595,-.588,-.588,.472,.191,1.671,1.671,2.267,-.595,117,117,199,3,306,11,0,1,"2,536",,,,,,2018
66,William McGirt,"2,116",30,"2,116","17,141","17,141",60,262,262,418,356,356,540,-0.21,-4.625,-4.625,-.337,-.337,-.326,.523,-8.671,-8.671,-4.046,-4.625,120,120,184,2,62,11,0,,"2,780",,,,,,2018
67,Pat Perez,"3,811",54,"3,811","28,859","28,859",100,427,427,741,626,626,972,-0.29,.248,.248,-.460,-.460,.212,.419,7.613,7.613,7.365,.248,214,214,346,4,249,17,0,2,"2,593",,,,,,2018
68,Beau Hossler,"3,271",48,"3,271","28,387","28,387",92,318,318,643,524,524,828,-0.30,34.624,34.624,-.191,-.191,-.696,.063,.865,.865,-33.757,34.624,180,180,304,3,494,16,0,2,"2,348",,,,,1,2018
69,Brooks Koepka,"2,817",45,"2,817","24,882","24,882",80,299,299,558,460,460,720,-0.31,9.450,9.450,.146,.146,-.065,-.168,6.462,6.462,-2.988,9.450,158,158,260,3,405,14,0,2,"2,437",,,,,1,2018
70,Vaughn Taylor,"2,604",39,"2,604","20,910","20,910",74,356,356,514,439,439,666,-0.27,-13.783,-13.783,-.144,-.144,.326,.080,-7.498,-7.498,6.286,-13.783,146,146,227,2,113,13,0,1,"2,729",,,,,,2018
71,Patton Kizzire,"4,362",64,"4,362","37,701","37,701",124,464,464,864,732,732,"1,116",-0.30,3.443,3.443,-.146,-.146,.249,-.102,3.494,3.494,.052,3.443,240,240,384,4,283,19,0,1,"2,559",,,,,,2018
72,Brian Stuard,"4,870",73,"4,870","37,932","37,932",138,682,682,953,807,807,"1,242",-0.25,-17.838,-17.838,-.484,-.484,.132,.220,-24.316,-24.316,-6.477,-17.838,279,279,435,3,258,24,0,2,"2,584",,,,,,2018
73,Graeme McDowell,"2,962",44,"2,962","23,804","23,804",84,378,378,580,495,495,756,-0.29,3.896,3.896,-.316,-.316,.257,-.316,-6.966,-6.966,-10.863,3.896,163,163,261,1,197,15,0,,"2,645",,,,,,2018
74,Stewart Cink,"3,319",47,"3,319","28,553","28,553",94,390,390,655,571,571,846,-0.29,1.929,1.929,-.106,-.106,.165,-.338,-9.769,-9.769,-11.700,1.929,143,143,275,1,269,15,0,2,"2,573",,,,,,2018
75,Sam Ryder,"4,104",62,"4,104","31,745","31,745",108,466,466,804,668,668,"1,044",-0.32,8.064,8.064,-.243,-.243,-.110,.042,-6.843,-6.843,-14.907,8.064,207,207,376,1,350,20,0,3,"2,492",,,,,1,2018
76,Adam Schenk,"4,621",69,"4,621","37,081","37,081",122,489,489,898,743,743,"1,170",-0.27,9.837,9.837,-.155,-.155,-.040,-.418,-22.018,-22.018,-31.856,9.837,249,249,427,1,380,23,0,3,"2,462",,,,,1,2018
77,Zach Johnson,"3,134",44,"3,134","24,962","24,962",88,372,372,610,492,492,792,-0.26,9.127,9.127,-.391,-.391,-.271,.031,-14.233,-14.233,-23.361,9.127,170,170,300,2,182,17,0,,"2,660",,,,,,2018
78,Lucas Glover,"4,310",63,"4,310","36,142","36,142",122,587,587,857,762,762,"1,098",-0.26,-30.120,-30.120,.269,.269,.398,-.159,-3.745,-3.745,26.375,-30.120,188,188,336,1,322,18,0,1,"2,520",,,,,,2018
79,Scott Piercy,"3,960",60,"3,960","33,098","33,098",112,428,428,773,626,626,"1,008",-0.29,-.219,-.219,-.105,-.105,-.110,.166,-2.440,-2.440,-2.222,-.219,236,236,382,2,226,19,0,,"2,616",,,,,,2018
80,John Huh,"3,314",49,"3,314","27,281","27,281",94,429,429,648,556,556,846,-0.29,.759,.759,-.145,-.145,-.107,-.040,-9.189,-9.189,-9.948,.759,172,172,290,1,210,16,0,1,"2,632",,,,,,2018
81,Kevin Kisner,"3,024",54,"3,024","24,946","24,946",86,412,412,601,522,522,774,-0.31,19.908,19.908,-.190,-.190,-.169,.262,16.408,16.408,-3.502,19.908,143,143,252,3,769,16,0,4,"2,073",,,,1,1,2018
82,Henrik Stenson,"1,782",29,"1,782","14,757","14,757",50,242,242,344,294,294,450,-0.23,-14.279,-14.279,.047,.047,.614,-.213,-3.950,-3.950,10.329,-14.279,87,87,156,5,78,11,0,,"2,764",,,,,,2018
83,Trey Mullinax,"3,660",54,"3,660","32,881","32,881",104,396,396,719,604,604,936,-0.31,-10.996,-10.996,.493,.493,-.194,-.034,-.369,-.369,10.626,-10.996,197,197,332,3,228,19,0,1,"2,614",,,,,,2018
84,Danny Lee,"2,695",40,"2,695","22,563","22,563",76,287,287,526,435,435,684,-0.34,-11.314,-11.314,.099,.099,-.239,-.481,-27.460,-27.460,-16.143,-11.314,137,137,249,2,384,16,0,2,"2,458",,,,1,,2018
85,Brice Garnett,"4,308",63,"4,308","35,646","35,646",122,559,559,841,729,729,"1,098",-0.25,1.938,1.938,-.014,-.014,-.235,.131,-3.382,-3.382,-5.322,1.938,240,240,369,2,176,21,0,1,"2,666",,,,,,2018
86,Bill Haas,"4,942",74,"4,942","39,298","39,298",132,541,541,965,812,812,"1,260",-0.25,6.483,6.483,-.361,-.361,-.545,.328,-21.261,-21.261,-27.744,6.483,288,288,448,1,119,22,0,,"2,723",,,,,,2018
87,Peter Uihlein,"3,117",46,"3,117","27,362","27,362",88,279,279,611,513,513,792,-0.29,-3.384,-3.384,-.031,-.031,-.058,.032,-4.888,-4.888,-1.503,-3.384,163,163,279,4,62,15,0,,"2,780",,,,,,2018
88,Chez Reavie,"4,188",61,"4,188","33,209","33,209",118,569,569,813,683,683,"1,062",-0.24,-18.988,-18.988,-.332,-.332,.270,-.018,-22.890,-22.890,-3.903,-18.988,240,240,379,3,296,20,0,1,"2,546",,,,,,2018
89,Patrick Reed,"3,828",57,"3,828","31,208","31,208",108,451,451,752,612,612,972,-0.30,13.787,13.787,-.633,-.633,-.424,.125,-22.531,-22.531,-36.318,13.787,216,216,360,7,443,17,0,1,"2,399",,,,1,,2018
90,Brian Gay,"2,770",39,"2,770","22,039","22,039",78,323,323,541,402,402,702,-0.33,29.890,29.890,-.821,-.821,-1.389,.297,-23.676,-23.676,-53.567,29.890,176,176,300,3,90,14,0,,"2,752",,,,,,2018
91,Nick Watney,"3,844",56,"3,844","32,726","32,726",108,413,413,753,671,671,972,-0.24,7.766,7.766,-.185,-.185,.187,-.323,-5.699,-5.699,-13.463,7.766,172,172,301,1,364,19,0,1,"2,478",,,,1,,2018
92,Kevin Tway,"3,904",57,"3,904","34,081","34,081",110,379,379,763,630,630,990,-0.27,14.264,14.264,-.150,-.150,-.668,-.092,-26.666,-26.666,-40.930,14.264,215,215,360,2,303,21,0,1,"2,539",,,,1,,2018
93,Kelly Kraft,"3,204",47,"3,204","25,732","25,732",90,405,405,619,501,501,810,-0.30,22.510,22.510,-.366,-.366,-.621,-.290,-19.662,-19.662,-42.173,22.510,170,170,309,2,114,19,0,,"2,728",,,,,,2018
94,Kiradech Aphibarnrat,"2,763",43,"2,763","22,607","22,607",78,346,346,537,447,447,702,-0.28,-9.013,-9.013,-.081,-.081,-.268,-.285,-24.242,-24.242,-15.230,-9.013,152,152,255,2,62,13,0,,"2,780",,,,,,2018
95,Emiliano Grillo,"3,665",54,"3,665","29,267","29,267",96,463,463,718,627,627,936,-0.31,-4.503,-4.503,.316,.316,-.103,-.241,-5.621,-5.621,-1.118,-4.503,177,177,309,5,145,19,0,,"2,697",,,,,,2018
96,Sung Kang,"4,529",66,"4,529","35,291","35,291",120,533,533,884,768,768,"1,152",-0.28,9.845,9.845,-.317,-.317,-.392,-.179,-30.988,-30.988,-40.834,9.845,225,225,384,1,145,23,0,,"2,697",,,,,,2018
97,Kyle Stanley,"3,061",47,"3,061","22,684","22,684",78,397,397,593,531,531,774,-0.20,-30.731,-30.731,.235,.235,.053,-.432,-34.629,-34.629,-3.898,-30.731,138,138,243,4,80,18,0,,"2,762",,,,,,2018
98,Brandt Snedeker,"3,046",45,"3,046","24,925","24,925",86,367,367,599,520,520,774,-0.26,-7.192,-7.192,-.266,-.266,-.085,-.026,-19.646,-19.646,-12.456,-7.192,149,149,254,1,122,17,0,,"2,720",,,,,,2018
99,Branden Grace,"3,261",50,"3,261","24,888","24,888",84,385,385,640,546,546,828,-0.26,-24.056,-24.056,.019,.019,-.356,.055,-35.613,-35.613,-11.556,-24.056,167,167,282,2,213,17,0,2,"2,629",,,,,,2018
100,Jimmy Walker,"2,913",41,"2,913","24,097","24,097",82,303,303,569,476,476,738,-0.27,-9.899,-9.899,-.565,-.565,.101,.215,-18.088,-18.088,-8.191,-9.899,150,150,262,4,83,14,0,,"2,759",,,,,,2018
101,Kevin Chappell,"2,771",43,"2,771","24,107","24,107",78,267,267,545,472,472,702,-0.29,-2.730,-2.730,-.350,-.350,-.297,-.214,-26.852,-26.852,-24.123,-2.730,124,124,230,3,108,13,0,,"2,734",,,,,,2018
102,Jason Dufner,"2,297",34,"2,297","18,586","18,586",64,271,271,444,363,363,576,-0.25,-11.019,-11.019,-.080,-.080,-.302,-.079,-20.706,-20.706,-9.686,-11.019,120,120,213,2,40,14,0,,"2,802",,,,,,2018
103,Charl Schwartzel,"2,940",45,"2,940","24,693","24,693",82,317,317,571,450,450,738,-0.27,-19.186,-19.186,-.366,-.366,-.273,.101,-35.860,-35.860,-16.673,-19.186,155,155,288,3,191,15,0,2,"2,651",,,,,,2018
104,Austin Cook,"3,217",47,"3,217","25,596","25,596",90,426,426,625,499,499,810,-0.24,-4.405,-4.405,-.406,-.406,-.456,-.050,-30.870,-30.870,-26.465,-4.405,194,194,311,2,85,17,0,,"2,757",,,,,,2018
105,Richy Werenski,"3,442",50,"3,442","28,111","28,111",96,376,376,661,536,536,864,-0.27,9.589,9.589,-.420,-.420,-.617,-.310,-38.880,-38.880,-48.470,9.589,184,184,328,1,81,19,0,,"2,761",,,,,,2018
106,Chesson Hadley,"4,012",58,"4,012","31,434","31,434",104,409,409,775,618,618,"1,008",-0.26,13.041,13.041,-.599,-.599,-.400,-.364,-41.474,-41.474,-54.515,13.041,232,232,390,6,58,21,0,,"2,784",,,,,,2018
0,Rory McIlroy,"2,091",30,"2,091","19,200","19,200",60,253,253,420,364,364,540,-0.32,8.564,8.564,.916,.916,.403,.316,51.068,51.068,42.506,8.564,112,112,176,11,"1,190",8,1,5,"1,652",,1,1,1,,2019
1,Cameron Smith,"2,468",40,"2,468","21,540","21,540",72,291,291,504,454,454,648,-0.39,21.103,21.103,-.049,-.049,1.078,.239,60.401,60.401,39.298,21.103,118,118,194,3,"1,603",11,2,5,"1,239",,2,2,,1,2019
2,Shane Lowry,"2,221",39,"2,221","19,372","19,372",64,280,280,442,388,388,576,-0.29,16.665,16.665,.303,.303,.766,-.024,43.835,43.835,27.170,16.665,136,136,188,3,802,11,0,3,"2,040",,,,1,2,2019
3,Matt Fitzpatrick,"2,792",43,"2,792","23,765","23,765",80,357,357,555,474,474,720,-0.27,17.462,17.462,.558,.558,.465,.462,56.081,56.081,38.618,17.462,172,172,246,1,795,12,0,6,"2,047",,,,1,,2019
4,Justin Thomas,"3,281",51,"3,281","30,069","30,069",96,375,375,672,599,599,864,-0.39,10.977,10.977,.476,.476,.873,.366,77.857,77.857,66.880,10.977,181,181,265,5,"1,568",13,1,8,"1,274",,1,1,,2,2019
5,Tommy Fleetwood,"2,655",43,"2,655","20,544","20,544",68,317,317,524,445,445,684,-0.32,17.156,17.156,.211,.211,.149,.414,40.371,40.371,23.216,17.156,149,149,239,4,481,12,0,3,"2,361",,,,,,2019
6,Joaquin Niemann,"3,469",54,"3,469","28,370","28,370",92,394,394,694,600,600,900,-0.34,4.097,4.097,.507,.507,.300,.487,50.679,50.679,46.582,4.097,190,190,300,1,994,16,1,3,"1,848",,1,1,,,2019
7,Jon Rahm,"2,924",46,"2,924","26,773","26,773",84,387,387,588,550,550,756,-0.31,.285,.285,1.370,1.370,.542,-.212,59.810,59.810,59.527,.285,120,120,206,9,"1,279",12,1,5,"1,563",,1,1,1,1,2019
8,Matt Kuchar,"3,812",55,"3,812","31,611","31,611",110,499,499,765,637,637,990,-0.30,29.647,29.647,-.209,-.209,-.020,.659,50.265,50.265,20.618,29.647,251,251,353,8,676,15,0,3,"2,166",,,,1,1,2019
9,Hideki Matsuyama,"3,665",53,"3,665","30,005","30,005",98,458,458,742,666,666,954,-0.34,-5.824,-5.824,.242,.242,.782,.178,47.088,47.088,52.913,-5.824,181,181,288,4,"1,544",14,2,5,"1,298",,2,2,,1,2019
10,Talor Gooch,"4,225",68,"4,225","37,001","37,001",122,533,533,854,759,759,"1,098",-0.34,3.667,3.667,-.086,-.086,.571,.521,52.976,52.976,49.308,3.667,213,213,339,2,"1,253",19,1,4,"1,589",,1,1,,,2019
11,Xander Schauffele,"2,765",47,"2,765","22,210","22,210",72,353,353,556,504,504,720,-0.34,8.103,8.103,.493,.493,.578,.273,52.495,52.495,44.392,8.103,141,141,216,5,995,13,1,3,"1,847",,1,1,,1,2019
12,Seamus Power,"4,154",67,"4,154","36,037","36,037",120,539,539,841,760,760,"1,080",-0.32,20.994,20.994,.232,.232,.017,.094,35.751,35.751,14.756,20.994,211,211,320,2,892,20,0,5,"1,950",,,,,1,2019
13,Sam Burns,"3,189",50,"3,189","28,444","28,444",92,386,386,640,577,577,828,-0.35,18.896,18.896,.190,.190,.678,.145,62.492,62.492,43.595,18.896,156,156,251,2,"1,601",15,2,6,"1,241",,2,2,1,,2019
14,Billy Horschel,"2,934",50,"2,934","24,782","24,782",84,402,402,592,514,514,756,-0.31,20.257,20.257,.322,.322,-.108,.383,39.948,39.948,19.691,20.257,149,149,242,2,784,13,0,4,"2,058",,,,2,,2019
15,Sungjae Im,"3,601",59,"3,601","31,271","31,271",104,474,474,728,659,659,936,-0.30,9.584,9.584,.581,.581,.157,.496,65.103,65.103,55.518,9.584,194,194,277,6,"1,117",16,1,5,"1,725",,1,1,,,2019
16,Denny McCarthy,"4,892",72,"4,892","40,752","40,752",140,637,637,971,823,823,"1,260",-0.28,39.099,39.099,-.076,-.076,-.151,.224,38.952,38.952,-.148,39.099,296,296,437,2,529,20,0,2,"2,313",,,,,,2019
17,Patrick Cantlay,"2,221",39,"2,221","19,427","19,427",64,282,282,451,387,387,576,-0.35,6.031,6.031,.491,.491,.173,.288,28.879,28.879,22.849,6.031,122,122,189,8,"1,410",11,1,6,"1,432",,1,1,2,,2019
18,Corey Conners,"3,704",60,"3,704","31,908","31,908",106,485,485,742,667,667,954,-0.27,4.423,4.423,.715,.715,.278,.018,49.930,49.930,45.507,4.423,179,179,287,3,703,16,0,2,"2,139",,,,,1,2019
19,Tyrrell Hatton,"2,675",46,"2,675","22,716","22,716",76,291,291,526,428,428,684,-0.34,29.730,29.730,-.036,-.036,.329,.210,44.850,44.850,15.119,29.730,144,144,256,2,564,12,0,2,"2,278",,,,1,,2019
20,Keith Mitchell,"3,897",61,"3,897","34,621","34,621",112,480,480,779,682,682,"1,008",-0.30,9.073,9.073,.728,.728,-.044,.089,46.155,46.155,37.081,9.073,208,208,326,3,638,18,0,4,"2,204",,,,,1,2019
21,Keegan Bradley,"3,771",61,"3,771","30,764","30,764",100,442,442,750,634,634,972,-0.31,1.609,1.609,.519,.519,.463,.225,54.752,54.752,53.144,1.609,205,205,338,2,761,17,0,5,"2,081",,,,1,,2019
22,Max Homa,"3,360",55,"3,360","29,204","29,204",96,419,419,672,573,573,864,-0.35,18.172,18.172,.498,.498,.617,-.056,62.646,62.646,44.475,18.172,166,166,291,2,"1,401",15,2,3,"1,441",,2,2,,,2019
23,Aaron Wise,"3,895",56,"3,895","34,376","34,376",112,460,460,774,698,698,"1,008",-0.31,-4.644,-4.644,.365,.365,.510,.146,47.451,47.451,52.095,-4.644,193,193,310,1,529,16,0,3,"2,313",,,,,,2019
24,Troy Merritt,"4,137",61,"4,137","32,131","32,131",110,502,502,817,651,651,"1,062",-0.31,25.233,25.233,.129,.129,.039,.042,34.924,34.924,9.692,25.233,273,273,411,2,539,17,0,2,"2,303",,,,,,2019
25,Brian Harman,"3,846",58,"3,846","31,744","31,744",110,524,524,761,660,660,990,-0.28,13.436,13.436,.167,.167,.044,.073,26.549,26.549,13.112,13.436,209,209,330,1,451,17,0,3,"2,391",,,,,1,2019
26,Marc Leishman,"3,621",59,"3,621","31,809","31,809",104,421,421,728,634,634,936,-0.33,27.517,27.517,.053,.053,.362,.026,48.275,48.275,20.757,27.517,193,193,302,6,601,16,0,3,"2,241",,,,,1,2019
27,Jhonattan Vegas,"3,986",57,"3,986","33,720","33,720",106,444,444,786,704,704,"1,026",-0.31,-2.436,-2.436,.422,.422,.386,-.145,26.113,26.113,28.550,-2.436,185,185,322,3,379,16,0,1,"2,463",,,,,,2019
28,Luke List,"4,070",61,"4,070","34,063","34,063",108,448,448,804,726,726,"1,044",-0.27,-36.156,-36.156,.757,.757,.556,.172,32.178,32.178,68.332,-36.156,188,188,318,4,861,20,1,3,"1,981",,1,1,,,2019
29,Louis Oosthuizen,"2,099",33,"2,099","17,950","17,950",60,281,281,416,358,358,540,-0.30,-.589,-.589,.438,.438,-.133,.364,18.835,18.835,19.424,-.589,109,109,182,4,175,10,0,,"2,667",,,,,,2019
30,Gary Woodland,"3,449",49,"3,449","30,534","30,534",98,364,364,676,590,590,882,-0.28,11.773,11.773,.209,.209,.432,.066,41.459,41.459,29.686,11.773,181,181,292,8,470,16,0,4,"2,372",,,,,,2019
31,Sergio Garcia,"2,256",37,"2,256","19,485","19,485",64,268,268,448,386,386,576,-0.28,5.983,5.983,.712,.712,-.266,.040,17.648,17.648,11.667,5.983,118,118,190,5,294,11,0,1,"2,548",,,,,,2019
32,Mackenzie Hughes,"3,521",53,"3,521","27,232","27,232",92,411,411,689,577,577,900,-0.30,23.737,23.737,-.272,-.272,-.103,.215,17.668,17.668,-6.070,23.737,195,195,323,2,670,17,0,3,"2,172",,,,1,,2019
33,Webb Simpson,"2,663",41,"2,663","22,794","22,794",76,344,344,528,440,440,684,-0.31,.892,.892,-.015,-.015,.205,.296,16.954,16.954,16.061,.892,144,144,244,4,262,12,0,1,"2,580",,,,,,2019
34,Russell Knox,"4,696",71,"4,696","39,404","39,404",134,638,638,929,869,869,"1,206",-0.24,-31.253,-31.253,.298,.298,.535,-.021,14.235,14.235,45.488,-31.253,198,198,337,2,398,21,0,2,"2,444",,,,,,2019
35,C.T. Pan,"4,000",57,"4,000","31,382","31,382",106,480,480,784,691,691,"1,026",-0.27,-.726,-.726,.084,.084,.348,.249,30.593,30.593,31.320,-.726,211,211,335,2,404,16,0,2,"2,438",,,,,,2019
36,Adam Long,"4,413",65,"4,413","34,379","34,379",118,557,557,868,734,734,"1,134",-0.30,29.616,29.616,.055,.055,-.175,.078,27.451,27.451,-2.164,29.616,259,259,400,2,373,20,0,,"2,469",,,,,,2019
37,Cameron Tringale,"4,194",67,"4,194","33,974","33,974",112,483,483,823,743,743,"1,080",-0.31,10.425,10.425,-.182,-.182,.447,.127,29.656,29.656,19.229,10.425,205,205,337,1,794,19,0,4,"2,048",,,,1,1,2019
38,Charles Howell III,"2,936",42,"2,936","25,584","25,584",84,357,357,584,530,530,756,-0.27,-12.343,-12.343,.338,.338,-.049,.450,13.520,13.520,25.864,-12.343,139,139,226,4,277,13,0,1,"2,565",,,,,,2019
39,Adam Hadwin,"4,192",62,"4,192","35,515","35,515",120,535,535,835,744,744,"1,080",-0.28,7.947,7.947,-.127,-.127,.458,.348,39.190,39.190,31.242,7.947,214,214,336,4,532,18,0,4,"2,310",,,,,,2019
40,Harold Varner III,"3,010",50,"3,010","26,105","26,105",86,329,329,597,502,502,774,-0.34,1.873,1.873,-.136,-.136,.413,.397,25.483,25.483,23.610,1.873,171,171,272,2,557,15,0,3,"2,285",,,,,1,2019
41,Adam Scott,"2,810",44,"2,810","25,006","25,006",80,308,308,556,476,476,720,-0.33,16.377,16.377,.214,.214,.291,-.181,27.718,27.718,11.341,16.377,144,144,244,6,417,12,0,3,"2,425",,,,,,2019
42,J.J. Spaun,"5,055",72,"5,055","42,343","42,343",144,649,649,999,880,880,"1,296",-0.29,4.034,4.034,.207,.207,.186,-.008,24.812,24.812,20.776,4.034,252,252,416,2,897,21,1,2,"1,945",,1,1,,,2019
43,Jordan Spieth,"2,926",45,"2,926","25,851","25,851",84,348,348,591,523,523,756,-0.32,-14.276,-14.276,.467,.467,.643,.259,36.409,36.409,50.686,-14.276,156,156,233,3,"1,277",13,1,3,"1,565",,1,1,2,,2019
