,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10_y,1ST,2ND,3RD,Year
63,Henrik Stenson,"1,782",29,"1,782","14,757","14,757",50,242,242,344,294,294,450,-0.23,-14.279,-14.279,.047,.047,.614,-.213,-3.950,-3.950,10.329,-14.279,87,87,156,2,78,11,0,,"2,764",,,,,,2016
64,Hudson Swafford,"4,379",62,"4,379","38,167","38,167",124,524,524,864,748,748,"1,116",-0.31,.696,.696,.009,.009,.406,-.649,-10.020,-10.020,-10.717,.696,200,200,368,1,640,20,1,1,"2,202",,1,1,,,2016
65,Danny Lee,"2,695",40,"2,695","22,563","22,563",76,287,287,526,435,435,684,-0.34,-11.314,-11.314,.099,.099,-.239,-.481,-27.460,-27.460,-16.143,-11.314,137,137,249,2,384,16,0,2,"2,458",,,,1,,2016
66,Brice Garnett,"4,308",63,"4,308","35,646","35,646",122,559,559,841,729,729,"1,098",-0.25,1.938,1.938,-.014,-.014,-.235,.131,-3.382,-3.382,-5.322,1.938,240,240,369,2,176,21,0,1,"2,666",,,,,,2016
67,Bill Haas,"4,942",74,"4,942","39,298","39,298",132,541,541,965,812,812,"1,260",-0.25,6.483,6.483,-.361,-.361,-.545,.328,-21.261,-21.261,-27.744,6.483,288,288,448,4,119,22,0,,"2,723",,,,,,2016
68,Chez Reavie,"4,188",61,"4,188","33,209","33,209",118,569,569,813,683,683,"1,062",-0.24,-18.988,-18.988,-.332,-.332,.270,-.018,-22.890,-22.890,-3.903,-18.988,240,240,379,2,296,20,0,1,"2,546",,,,,,2016
69,Patrick Reed,"3,828",57,"3,828","31,208","31,208",108,451,451,752,612,612,972,-0.30,13.787,13.787,-.633,-.633,-.424,.125,-22.531,-22.531,-36.318,13.787,216,216,360,9,443,17,0,1,"2,399",,,,1,,2016
70,Brian Gay,"2,770",39,"2,770","22,039","22,039",78,323,323,541,402,402,702,-0.33,29.890,29.890,-.821,-.821,-1.389,.297,-23.676,-23.676,-53.567,29.890,176,176,300,1,90,14,0,,"2,752",,,,,,2016
71,Kiradech Aphibarnrat,"2,763",43,"2,763","22,607","22,607",78,346,346,537,447,447,702,-0.28,-9.013,-9.013,-.081,-.081,-.268,-.285,-24.242,-24.242,-15.230,-9.013,152,152,255,1,62,13,0,,"2,780",,,,,,2016
72,Jim Herman,"2,915",43,"2,915","23,851","23,851",82,393,393,568,503,503,738,-0.21,-14.245,-14.245,-.031,-.031,-.226,-.244,-30.783,-30.783,-16.539,-14.245,137,137,235,2,75,15,0,1,"2,767",,,,,,2016
73,Emiliano Grillo,"3,665",54,"3,665","29,267","29,267",96,463,463,718,627,627,936,-0.31,-4.503,-4.503,.316,.316,-.103,-.241,-5.621,-5.621,-1.118,-4.503,177,177,309,1,145,19,0,,"2,697",,,,,,2016
74,Sung Kang,"4,529",66,"4,529","35,291","35,291",120,533,533,884,768,768,"1,152",-0.28,9.845,9.845,-.317,-.317,-.392,-.179,-30.988,-30.988,-40.834,9.845,225,225,384,2,145,23,0,,"2,697",,,,,,2016
75,Brandt Snedeker,"3,046",45,"3,046","24,925","24,925",86,367,367,599,520,520,774,-0.26,-7.192,-7.192,-.266,-.266,-.085,-.026,-19.646,-19.646,-12.456,-7.192,149,149,254,5,122,17,0,,"2,720",,,,,,2016
76,Branden Grace,"3,261",50,"3,261","24,888","24,888",84,385,385,640,546,546,828,-0.26,-24.056,-24.056,.019,.019,-.356,.055,-35.613,-35.613,-11.556,-24.056,167,167,282,4,213,17,0,2,"2,629",,,,,,2016
77,Jimmy Walker,"2,913",41,"2,913","24,097","24,097",82,303,303,569,476,476,738,-0.27,-9.899,-9.899,-.565,-.565,.101,.215,-18.088,-18.088,-8.191,-9.899,150,150,262,3,83,14,0,,"2,759",,,,,,2016
78,Seung-Yul Noh,"3,205",47,"3,205","26,874","26,874",90,315,315,623,537,537,810,-0.27,.321,.321,-1.165,-1.165,-.076,.133,-30.715,-30.715,-31.038,.321,155,155,273,1,74,16,0,,"2,768",,,,,,2016
79,Kevin Chappell,"2,771",43,"2,771","24,107","24,107",78,267,267,545,472,472,702,-0.29,-2.730,-2.730,-.350,-.350,-.297,-.214,-26.852,-26.852,-24.123,-2.730,124,124,230,5,108,13,0,,"2,734",,,,,,2016
80,Charley Hoffman,"3,053",45,"3,053","24,059","24,059",78,279,279,596,499,499,774,-0.30,-12.140,-12.140,-.306,-.306,-.332,.022,-34.289,-34.289,-22.149,-12.140,160,160,275,1,99,16,0,,"2,743",,,,,,2016
81,Jason Dufner,"2,297",34,"2,297","18,586","18,586",64,271,271,444,363,363,576,-0.25,-11.019,-11.019,-.080,-.080,-.302,-.079,-20.706,-20.706,-9.686,-11.019,120,120,213,5,40,14,0,,"2,802",,,,,,2016
82,Charl Schwartzel,"2,940",45,"2,940","24,693","24,693",82,317,317,571,450,450,738,-0.27,-19.186,-19.186,-.366,-.366,-.273,.101,-35.860,-35.860,-16.673,-19.186,155,155,288,2,191,15,0,2,"2,651",,,,,,2016
83,Jonas Blixt,"2,178",30,"2,178","17,566","17,566",60,236,236,415,298,298,540,-0.28,.504,.504,-.249,-.249,-1.500,-.148,-41.229,-41.229,-41.734,.504,139,139,242,2,15,13,0,,"2,827",,,,,,2016
0,Rory McIlroy,"2,091",30,"2,091","19,200","19,200",60,253,253,420,364,364,540,-0.32,8.564,8.564,.916,.916,.403,.316,51.068,51.068,42.506,8.564,112,112,176,4,"1,190",8,1,5,"1,652",,1,1,1,,2017
1,Cameron Smith,"2,468",40,"2,468","21,540","21,540",72,291,291,504,454,454,648,-0.39,21.103,21.103,-.049,-.049,1.078,.239,60.401,60.401,39.298,21.103,118,118,194,3,"1,603",11,2,5,"1,239",,2,2,,1,2017
2,Justin Thomas,"3,281",51,"3,281","30,069","30,069",96,375,375,672,599,599,864,-0.39,10.977,10.977,.476,.476,.873,.366,77.857,77.857,66.880,10.977,181,181,265,8,"1,568",13,1,8,"1,274",,1,1,,2,2017
3,Russell Henley,"4,033",61,"4,033","34,371","34,371",116,540,540,808,724,724,"1,044",-0.32,-.174,-.174,-.010,-.010,.966,.331,60.351,60.351,60.525,-.174,182,182,320,3,762,16,0,2,"2,080",,,,1,,2017
4,Tommy Fleetwood,"2,655",43,"2,655","20,544","20,544",68,317,317,524,445,445,684,-0.32,17.156,17.156,.211,.211,.149,.414,40.371,40.371,23.216,17.156,149,149,239,3,481,12,0,3,"2,361",,,,,,2017
5,Jon Rahm,"2,924",46,"2,924","26,773","26,773",84,387,387,588,550,550,756,-0.31,.285,.285,1.370,1.370,.542,-.212,59.810,59.810,59.527,.285,120,120,206,7,"1,279",12,1,5,"1,563",,1,1,1,1,2017
6,Matt Kuchar,"3,812",55,"3,812","31,611","31,611",110,499,499,765,637,637,990,-0.30,29.647,29.647,-.209,-.209,-.020,.659,50.265,50.265,20.618,29.647,251,251,353,4,676,15,0,3,"2,166",,,,1,1,2017
7,Hideki Matsuyama,"3,665",53,"3,665","30,005","30,005",98,458,458,742,666,666,954,-0.34,-5.824,-5.824,.242,.242,.782,.178,47.088,47.088,52.913,-5.824,181,181,288,5,"1,544",14,2,5,"1,298",,2,2,,1,2017
8,Xander Schauffele,"2,765",47,"2,765","22,210","22,210",72,353,353,556,504,504,720,-0.34,8.103,8.103,.493,.493,.578,.273,52.495,52.495,44.392,8.103,141,141,216,2,995,13,1,3,"1,847",,1,1,,1,2017
9,Billy Horschel,"2,934",50,"2,934","24,782","24,782",84,402,402,592,514,514,756,-0.31,20.257,20.257,.322,.322,-.108,.383,39.948,39.948,19.691,20.257,149,149,242,4,784,13,0,4,"2,058",,,,2,,2017
10,Tom Hoge,"4,871",75,"4,871","39,302","39,302",132,605,605,971,839,839,"1,260",-0.30,-1.568,-1.568,.103,.103,.848,.186,57.570,57.570,59.136,-1.568,286,286,421,1,"1,309",22,1,4,"1,533",,1,1,1,,2017
11,Patrick Cantlay,"2,221",39,"2,221","19,427","19,427",64,282,282,451,387,387,576,-0.35,6.031,6.031,.491,.491,.173,.288,28.879,28.879,22.849,6.031,122,122,189,2,"1,410",11,1,6,"1,432",,1,1,2,,2017
